Frame,Frame Duration in Nanoseconds,,,,16045187.87,771064.592
0,18194700,,,,,
1,16000700,,,,,
2,15562500,,,,,
3,17035700,,,,,
4,15631300,,,,,
5,18259800,,,,,
6,15251200,,,,,
7,17245400,,,,,
8,14846700,,,,,
9,16834700,,,,,
10,16145600,,,,,
11,16697800,,,,,
12,18019900,,,,,
13,17104000,,,,,
14,14835900,,,,,
15,14693600,,,,,
16,14927200,,,,,
17,15649200,,,,,
18,16549700,,,,,
19,17470800,,,,,
20,17544000,,,,,
21,16514000,,,,,
22,15166200,,,,,
23,15433900,,,,,
24,15536900,,,,,
25,17052400,,,,,
26,17710600,,,,,
27,18005500,,,,,
28,17506700,,,,,
29,18210800,,,,,
30,14604600,,,,,
31,15633900,,,,,
32,17247900,,,,,
33,17514900,,,,,
34,16777200,,,,,
35,17284700,,,,,
36,15980100,,,,,
37,19714900,,,,,
38,18226200,,,,,
39,18004800,,,,,
40,15395900,,,,,
41,15833900,,,,,
42,14980400,,,,,
43,16514200,,,,,
44,14856800,,,,,
45,15486200,,,,,
46,15315600,,,,,
47,17188800,,,,,
48,16173900,,,,,
49,15931400,,,,,
50,16450700,,,,,
51,17456500,,,,,
52,17572800,,,,,
53,17272100,,,,,
54,17085300,,,,,
55,16376800,,,,,
56,15420800,,,,,
57,15539000,,,,,
58,17531500,,,,,
59,16887100,,,,,
60,16169000,,,,,
61,16250900,,,,,
62,16974100,,,,,
63,16693200,,,,,
64,15951500,,,,,
65,16851400,,,,,
66,16400400,,,,,
67,17564500,,,,,
68,16171900,,,,,
69,14712500,,,,,
70,14571700,,,,,
71,15750500,,,,,
72,14959200,,,,,
73,15112300,,,,,
74,14635600,,,,,
75,15010200,,,,,
76,14511700,,,,,
77,15144900,,,,,
78,14666600,,,,,
79,15527100,,,,,
80,15244400,,,,,
81,15802200,,,,,
82,15132300,,,,,
83,15698500,,,,,
84,15317100,,,,,
85,17054000,,,,,
86,16484000,,,,,
87,16935000,,,,,
88,16213700,,,,,
89,16978700,,,,,
90,16213500,,,,,
91,16691000,,,,,
92,17910500,,,,,
93,18139000,,,,,
94,16920400,,,,,
95,16763800,,,,,
96,16423700,,,,,
97,15272400,,,,,
98,16118600,,,,,
99,15664300,,,,,
100,15087900,,,,,
101,15857200,,,,,
102,15500400,,,,,
103,16330900,,,,,
104,16091000,,,,,
105,16351400,,,,,
106,16073500,,,,,
107,16267700,,,,,
108,16512000,,,,,
109,15355700,,,,,
110,14910400,,,,,
111,17054400,,,,,
112,14994100,,,,,
113,16047100,,,,,
114,15506500,,,,,
115,16017300,,,,,
116,14928000,,,,,
117,15612500,,,,,
118,15798300,,,,,
119,16301200,,,,,
120,14892800,,,,,
121,15054900,,,,,
122,14453200,,,,,
123,15116600,,,,,
124,14312000,,,,,
125,14572800,,,,,
126,14661100,,,,,
